Region,Place.name,Place.type,Rating,Reviews,Price,Delivery.option,Dine.in.option,Takeout.option
C,Dim Kavu,Others,4.6,206,$$,False,,
C,Кофейня Світ Чаю,Coffee shop,5,11,$$,False,,True
C,"Кофейня ""Friend Zone""",Coffee shop,5,12,$$,False,True,True
C,Racers Coffee Shop,Espresso bar,4.6,367,$$,False,True,True
C,Займемся Кофе,Coffee shop,4.6,200,$$,False,True,True
C,Кофейня Rit Rit,Coffee shop,4.6,292,$$,False,,True
C,Кав'ярня My coffee,Coffee shop,4.8,31,$$,False,True,True
C,LENЬ. Coffee & desserts.,Coffee shop,4.8,125,$$,True,True,True
C,Skver кафе,Cafe,4.9,18,$$,False,True,True
C,Кафе на Георгіївській,Cafe,4.5,806,$,False,True,True
C,Khosper,Cafe,4.2,609,$$,False,True,True
C,Lekontina Шоколадна Майстерня,Cafe,4.7,172,$$,True,True,True
C,Lecker,Cafe,4.8,234,$$,True,True,True
C,Veterano Coffee,Coffee shop,4.5,136,$$,False,,True
C,VEIN,Cafe,4.5,166,$$,True,True,True
C,Coffee Drive,Coffee shop,4.8,10,$$,False,True,True
J,G COFFEE,Coffee shop,4.5,1596,$$,True,True,
J,Kavun,Coffee shop,4.7,1785,$$,True,True,
J,Buns Brew Bar,Coffee shop,4.7,459,$$,False,,True
J,Coffee House,Cafe,4.7,329,$$,False,,True
J,"""Точка кофе""",Espresso bar,4.9,14,$$,False,,True
J,Your Coffee,Cafe,4.7,569,$$,False,True,
J,KOFEiN,Cafe,4.4,860,$$$,False,True,True
J,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,4.8,124,$$,False,True,True
J,Misceva kavyarnya,Coffee shop,4.5,898,$$,False,True,True
J,Gangster coffee shop,Others,4.7,347,$$,True,,
J,Crema Caffe Poltava,Coffee shop,4.3,12,$$,False,,True
J,COFFBOY,Coffee shop,4.7,112,$$,False,True,True
J,Wake Up Coffee,Coffee shop,4.9,17,$$,False,,True
J,Lviv Handmade Chocolate,Others,4.6,1376,$$,False,True,True
J,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Others,5,37,$$,False,,
J,Aroma kava,Cafe,4.4,226,$$,False,True,True
J,ЗАКУТОК - coffee hookah point,Coffee shop,5,15,$$,False,,
J,CoffeePot,Coffee shop,5,18,$$,False,True,
F,Coffee 66,Cafe,5,15,$$,False,,True
F,Godshot Coffee,Cafe,4.7,726,$$,False,True,True
F,Prostir.coffee Таврик,Coffee shop,5,26,$$,False,True,
F,coffee House,Coffee shop,4.7,279,$$,False,True,True
F,CoffeeOk,Coffee shop,4.9,18,$$,False,,True
F,Кофе с Совой,Espresso bar,4.9,46,$$,False,,True
F,Кофе В Херсоне,Cafe,NA,NA,$$,False,,
F,Don Marco coffee shop,Coffee shop,4.4,593,$$,False,True,True
F,Koko,Coffee shop,4.4,1201,$$,False,True,True
F,Coffee house,Coffee shop,4.4,67,$$,False,,True
F,Coffeehouse Na Poshtovomu Provulku,Coffee shop,4.6,275,$$,False,True,True
F,Just Coffee Kherson,Espresso bar,4.5,27,$$,False,,True
F,Don Marco,Coffee shop,4.4,304,$$,False,True,True
F,Green house,Cafe,4.5,598,$$,True,True,True
F,Kofemolka,Coffee shop,4.7,97,$$,False,,True
B,Art Coffee - Інтернет Магазин Кави та Чаю,Others,5,12,$$,True,,
B,Coffeeshop GRANO,Cafe,4.9,14,$$,False,,True
B,Coffeeсть,Coffee shop,4.6,38,$$,False,True,True
B,The Boiler Room,Coffee shop,4.8,98,$$,False,True,
B,"Интернет-магазин ""Kava-e""",Others,4.7,121,$$,False,,
B,Coffee House,Others,4.7,132,$$,False,,
B,Caffisimo,Espresso bar,4.5,223,$$,False,,
B,MY COFFEE,Coffee shop,4.5,341,$$,False,True,True
B,"Kaffe ""Na Peskah""",Cafe,4.2,385,$$,False,True,True
B,Столовая BUFET,Cafe,5,440,$$,True,True,True
B,Svit kavy,Coffee shop,4.6,488,$$,False,True,True
B,Comeback coffee & more,Cafe,4.8,807,$$,False,True,True
